Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C21, C27, C29",0603,4,100pF,C14858
"C11, C12, C2, C25, C28, C3, C30, C32, C4, C8, C9",0603,11,10uF,C19702
"C13, C14, C15, C16, C17, C18, C19, C20",0402,8,22nF,C1532
C22,0603,1,22uF,C59461
"C23, C26, C31, C33, C34, C35, C36, C37, C38, C39, C41, C42, C43",0402,13,100nF,C1525
C40,0402,1,5pF,C541339
D1,0603,1,RED,C2286
D2,0603,1,GREEN,C2994781
D3,0603,1,YELLOW,C72038
J2,SDCard molex,1,Micro_SD_Card_Det1,C20613194
"J3, J4, J5",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,3,USB_C_Receptacle_USB2.0_14P, C2765186
J7,XKB Connection A71-05H4-111N1,1,HDMI_C_1.3,C2682170 
"L1, L2, L3",1008,3,2.2uH, C285758
"R1, R2, R3, R4, R6, R7",0603,6,5.1k,C23186
"R10, R8",0603,2,470,C23179
R11,0603,1,100k,C25803
"R12, R13, R16, R17, R23, R24, RB2",0603,7,4.7k,C23162
"R14, R15, RB3",0603,3,3.3k,C22978
R18,0603,1,1k,C21190
"R19, R20, R21, R22, R9",0603,5,10k,C25804
"R25, R26, R5",0603,3,549,C23204
R38,0603,1,0.47,C3013349
"RA1, RA2, RA3",0603,3,15k,C22809
RB1,0603,1,18k,C25810
U1,BGA-256_14.0x14.0mm_Layout16x16_P0.8mm_Ball0.45mm_Pad0.32mm_NSMD,1,ECP5U_12_CABGA256, C1521614
U10,TSOP-II-54_22.2x10.16mm_P0.8mm,1,W9825G6KH-6, C62246
U11,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS, C97521
"U12, U13, U14",SOT-563,3,TLV62569DRL,C163217
"U5, U6, U8",Texas_DRT-3,3,TPD2EUSB30,C2844720
U7,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,FT231XQ,C132159
U9,VSSOP-8_2.3x2mm_P0.5mm,1,PCA9306DC1,C129510
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ECS-2520MV-xxx-xx, C5189451
